Code,Term,drugsubstancename,Observations,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId,2001_census_16_grouping,2001_census_6_grouping,medicine,Source
3282141000033113,Eicosapentaenoic acid 460mg / Docosahexaenoic acid 380mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
858241000033113,MaxEPA 1g capsules (Seven Seas Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
8275241000033118,Prestylon 1g capsules (Teva UK Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3281941000033115,Eicosapentaenoic acid 170mg / Docosahexaenoic acid 115mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
863241000033112,MaxEPA liquid (Seven Seas Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
8127541000033114,Teromeg 1000mg capsules (Advanz Pharma),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3282041000033114,Eicosapentaenoic acid 170mg/g / Docosahexaenoic acid 115mg/g oral liquid,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
9118541000033115,Nebbaro 1000mg capsules (Zentiva Pharma UK Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
10213541000033113,Dualtis 1000mg capsules (Viatris UK Healthcare Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
10618041000033112,Evolocumab 140mg/1ml solution for injection pre-filled disposable devices,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
10618141000033111,Repatha SureClick 140mg/1ml solution for injection pre-filled pens (Amgen Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
10617941000033114,Repatha 140mg/1ml solution for injection pre-filled syringes (Amgen Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
10617841000033118,Evolocumab 140mg/1ml solution for injection pre-filled syringes,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2906741000033119,Ezetimibe 10mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2906841000033112,Ezetrol 10mg tablets (Organon Pharma (UK) Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3292541000033115,Simvastatin 40mg / Ezetimibe 10mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3292441000033116,Simvastatin 20mg / Ezetimibe 10mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3292641000033119,Simvastatin 80mg / Ezetimibe 10mg tablets,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3292841000033118,Inegy 10mg/40mg tablets (Organon Pharma (UK) Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3292741000033111,Inegy 10mg/20mg tablets (Organon Pharma (UK) Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
3292941000033114,Inegy 10mg/80mg tablets (Organon Pharma (UK) Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
564541000033112,Fenofibrate 200mg capsules,,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
2801141000033116,Fenogal 200mg capsules (Genus Pharmaceuticals Ltd),,,,,,,,,,,DAAR_2025_004_all_prod_codes.txt
